p_x,p_y,p_z,v_x,v_y,v_z,r11,r12,r13,r21,r22,r23,r31,r32,r33
1.16365,-0.0187872,0.840144,0.264483,-0.0362401,-0.0623566,0.996261,-0.0729118,0.0463396,0.0784226,0.988269,-0.131053,-0.0362406,0.134197,0.990292
1.16379,-0.0188607,0.84011,0.264747,-0.0367496,-0.0631464,0.996268,-0.0729375,0.0461483,0.0784221,0.98827,-0.131047,-0.0360488,0.134177,0.990302
1.16394,-0.0189345,0.840075,0.26501,-0.0372591,-0.0639361,0.996275,-0.0729632,0.0459571,0.0784217,0.98827,-0.13104,-0.0358569,0.134156,0.990311
1.16408,-0.0190083,0.84004,0.265267,-0.0377734,-0.0647133,0.996282,-0.0729886,0.0457641,0.0784204,0.988272,-0.131026,-0.0356639,0.134128,0.990322
1.16422,-0.0190824,0.840004,0.265524,-0.0382877,-0.0654906,0.996289,-0.073014,0.045571,0.0784192,0.988274,-0.131012,-0.0354709,0.1341,0.990333
1.16437,-0.0191565,0.839968,0.265785,-0.0388127,-0.0662376,0.996296,-0.0730389,0.045376,0.0784168,0.988278,-0.130988,-0.0352769,0.134061,0.990345
1.16451,-0.0192309,0.839932,0.266044,-0.0393378,-0.0669846,0.996303,-0.0730637,0.0451808,0.0784144,0.988281,-0.130963,-0.0350827,0.134021,0.990357
1.16466,-0.0193055,0.839895,0.266302,-0.0398626,-0.0677315,0.99631,-0.0730886,0.0449856,0.078412,0.988285,-0.130938,-0.0348886,0.133982,0.990369
1.1648,-0.0193802,0.839858,0.266568,-0.0403949,-0.0684531,0.996317,-0.0731132,0.0447894,0.0784089,0.988289,-0.130905,-0.034694,0.133935,0.990383
1.16495,-0.019455,0.83982,0.266832,-0.040927,-0.0691746,0.996324,-0.0731378,0.0445932,0.0784059,0.988294,-0.130873,-0.0344994,0.133888,0.990396
1.16509,-0.0195299,0.839783,0.267113,-0.0414711,-0.0698545,0.996331,-0.073162,0.044396,0.0784019,0.9883,-0.130829,-0.0343049,0.13383,0.99041
1.16524,-0.019605,0.839744,0.267392,-0.0420149,-0.0705342,0.996338,-0.0731861,0.0441988,0.0783979,0.988306,-0.130786,-0.0341102,0.133772,0.990425
1.16538,-0.0196804,0.839706,0.26767,-0.0425585,-0.0712139,0.996345,-0.0732103,0.0440016,0.078394,0.988312,-0.130742,-0.0339156,0.133714,0.990439
1.16553,-0.0197557,0.839667,0.267954,-0.0431088,-0.0718695,0.996352,-0.0732342,0.043804,0.0783895,0.988319,-0.130691,-0.0337213,0.133648,0.990455
1.16567,-0.0198313,0.839627,0.268238,-0.0436588,-0.072525,0.996359,-0.0732581,0.0436064,0.078385,0.988326,-0.130639,-0.033527,0.133582,0.99047
1.16582,-0.019907,0.839588,0.268534,-0.0442196,-0.0731469,0.996366,-0.0732817,0.0434091,0.0783799,0.988335,-0.130577,-0.0333338,0.133504,0.990487
1.16596,-0.0199829,0.839548,0.268828,-0.0447799,-0.0737686,0.996373,-0.0733053,0.0432116,0.0783749,0.988344,-0.130514,-0.0331406,0.133427,0.990504
1.16611,-0.0200591,0.839507,0.269121,-0.04534,-0.0743903,0.99638,-0.0733289,0.0430141,0.0783698,0.988353,-0.130451,-0.0329473,0.133349,0.990521
1.16625,-0.0201354,0.839467,0.269419,-0.0459039,-0.0749953,0.996387,-0.0733524,0.042817,0.0783644,0.988362,-0.13038,-0.032755,0.133264,0.990539
1.1664,-0.0202119,0.839426,0.269716,-0.0464676,-0.0756004,0.996393,-0.0733758,0.0426199,0.078359,0.988372,-0.130309,-0.0325627,0.133179,0.990557
